listing_date,company_name,ticker,market_division,public_price
"2024/06/28",（株）ロゴスホールディングス,205A.T,グロース,"2,290"
"2024/06/27",（株）豆蔵デジタルホールディングス,202A.T,グロース,"1,330"
"2024/06/21",（株）ＭＦＳ,196A.T,グロース,400
"2024/06/20",（株）WOLVES HAND,194A.T,グロース,770
"2024/06/20",（株）タウンズ,197A.T,スタンダード,460
"2024/06/20",ＰｏｓｔＰｒｉｍｅ（株）,198A.T,グロース,450
"2024/06/19",（株）ライスカレー,195A.T,グロース,"1,420"
"2024/06/18",インテグループ（株）,192A.T,グロース,"3,960"
"2024/06/14",Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ（株）,190A.T,グロース,153
"2024/06/11",（株）Ｄ＆Ｍカンパニー,189A.T,グロース,"1,000"
"2024/06/05",（株）アストロスケールホールディングス,186A.T,グロース,850
"2024/05/28",（株）学びエイド,184A.T,グロース,970
"2024/04/25",コージンバイオ（株）,177A.T,グロース,"1,900"
"2024/04/24",レジル（株）,176A.T,グロース,"1,200"
"2024/04/16",（株）Will Smart,175A.T,グロース,"1,656"
"2024/04/11",（株）ハンモック,173A.T,グロース,"2,060"
"2024/04/08",（株）イタミアート,168A.T,グロース,"1,600"
"2024/04/04",（株）アズパートナーズ,160A.T,スタンダード,"1,920"
"2024/03/29",マテリアルグループ（株）,156A.T,グロース,"1,180"
"2024/03/29",グリーンモンスター（株）,157A.T,グロース,980
"2024/03/28",（株）カウリス,153A.T,グロース,"1,530"
"2024/03/28",（株）情報戦略テクノロジー,155A.T,グロース,460
"2024/03/27",コロンビア・ワークス（株）,146A.T,スタンダード,"3,300"
"2024/03/27",（株）シンカ,149A.T,グロース,"1,320"
"2024/03/27",（株）ダイブ,151A.T,グロース,"1,820"
"2024/03/26",（株）L is B,145A.T,グロース,"1,188"
"2024/03/26",（株）ソラコム,147A.T,グロース,870
"2024/03/26",（株）ハッチ・ワーク,148A.T,グロース,"2,160"
"2024/03/26",（株）ＪＳＨ,150A.T,グロース,456
"2024/03/25",イシン（株）,143A.T,グロース,"1,080"
"2024/03/22",（株）ジンジブ,142A.T,グロース,"1,750"
"2024/03/21",（株）トライアルホールディングス,141A.T,グロース,"1,700"
"2024/03/21",（株）ＳＴＧ,5858.T,グロース,"1,920"
"2024/02/28",Cocolive（株）,137A.T,グロース,"1,780"
"2024/02/28",光フードサービス（株）,138A.T,グロース,"2,660"
"2024/02/22",（株）ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A.T,グロース,"2,990"
"2024/02/08",（株）Veritas In Silico,130A.T,グロース,"1,000"
"2024/02/07",SOLIZE（株）,5871.T,スタンダード,"1,470"
